ID,cm.DESPC,cm.DESSC,cm.DESWC,cm.DESPL,cm.DESPLd,cm.DESSL,cm.DESSLd,cm.DESWLsy,cm.DESWLsyd,cm.DESWLlt,cm.DESWLltd,cm.CRFNO1,cm.CRFAO1,cm.CRFSO1,cm.CRFNOa,cm.CRFAOa,cm.CRFSOa,cm.CRFCWO1,cm.CRFCWO1d,cm.CRFCWOa,cm.CRFCWOad,cm.CRFANP1,cm.CRFANPa,cm.LSASS1,cm.LSASS1d,cm.LSASSp,cm.LSASSpd,cm.LSAPP1,cm.LSAPP1d,cm.LSAGN,cm.LSAGNd,cm.LDTTRc,cm.LDTTRa,cm.LDMTLDa,cm.LDVOCDa,cm.CNCAll,cm.CNCCaus,cm.CNCLogic,cm.CNCADC,cm.CNCTemp,cm.CNCAdd,cm.CNCPos,cm.CNCNeg,cm.CNCAlter,cm.CNCConclu,cm.CNCExpli,cm.CNCConce,cm.CNCCondi,cm.CNCConfor,cm.CNCFinal,cm.CNCProp,cm.CNCComp,cm.CNCConse,cm.CNCInte,cm.SMCAUSv,cm.SMCAUSvp,cm.SMCAUSr,cm.SMCAUSlsa,cm.SMCAUSwn,cm.SYNLE,cm.SYNMEDpos,cm.SYNMEDwrd,cm.SYNMEDlem,cm.SYNSTRUTa,cm.SYNSTRUTt,cm.DRNP,cm.DRVP,cm.DRAP,cm.DRPP,cm.DRPVAL,cm.DRNEG,cm.DRGERUND,cm.DRINF,cm.WRDNOUN,cm.WRDVERB,cm.WRDADJ,cm.WRDADV,cm.WRDPRO,cm.WRDPRP1s,cm.WRDPRP1p,cm.WRDPRP2,cm.WRDPRP3s,cm.WRDPRP3p,cm.WRDFRQc,cm.WRDFRQa,cm.WRDFRQmc,cm.WRDAOAc,cm.WRDFAMc,cm.WRDCNCc,cm.WRDIMGc,cm.WRDMEAc,cm.RDFRE,cm.RDFKGL,cm.RDL2
23,1,1,18,1.0,0.0,17.0,0.0,1.8888888888888888,0.9002541398626663,5.117647058823529,2.1931002214479114,0,0,0,0,0,0,nan,nan,0,0,0,0,0,0,nan,nan,0,0,1.0,0.0,0.9,0.8823529411764706,40.459999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,1,0,0,0,0,0,0,6.132207980905698,1.8135548777379926,6.132207980905698,464.6666666666667,559.0,356.14285714285717,339.2857142857143,336.25,25.35647058823531,13.945882352941176,nan
24,1,2,24,2.0,0.0,10.5,0.5,1.9166666666666667,1.1000658741803746,5.095238095238095,2.6709149833105066,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3933221,0.0,0.3933221,0.0,0,0,0.696661,0.30333892,0.9230769230769231,0.9523809523809523,123.47999999999988,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6747096,6.0,0.5,0.8333333333333334,0.9166666666666666,0.9166666666666666,0,0,0,2,0,0,0,0,0,5,3,7,0,3,0,0,0,0,0,0,6.640196542706414,1.8931415628554598,6.308186715571093,375.0,588.6666666666666,303.0,323.44444444444446,346.0,27.485000000000014,11.91,95.0412860192561
35,1,2,31,2.0,0.0,12.5,0.5,1.7419354838709677,0.964978132238718,5.04,2.4245411937106778,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.13597535,0.0,0.13597535,0.0,0,0,0.5679876,0.4320123,1.0,0.96,174.9999999999999,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7663867,5.0,0.25,0.9444444444444445,1.0,1.0,0,0,1,3,0,0,0,0,0,4,5,6,2,3,0,0,0,0,0,0,6.633897358014786,1.8921924682940396,6.357484968097503,403.0,590.0909090909091,312.3333333333333,339.8181818181818,375.0,32.504999999999995,11.706666666666667,96.13595371660504
37,1,1,7,1.0,0.0,6.0,0.0,1.8571428571428572,1.0690449676496976,4.833333333333333,2.266911751455907,0,0,0,0,0,0,nan,nan,0,0,0,0,0,0,nan,nan,0,0,0.99999994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,6.600220643016792,1.8871030792337045,6.600220643016792,269.0,561.0,422.5,413.5,349.5,31.545000000000016,10.350000000000001,nan
68,1,4,32,4.0,0.0,6.5,3.640054944640259,1.9375,1.2684127749837335,5.5,3.3883283829595428,0,0,0,0,0,0,0.020833333333333332,0.02946278254943948,0.01918859649122807,0.027285892846774785,0,0,0.0,0.0,0.02390848,0.053460985,0,0,0.14293137,0.32732695,1.0,0.92,87.50000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122583374,2.0,1.25,1.0,1.0,1.0,0.8552640812643332,0.8552640812643332,1,2,0,0,0,0,0,1,8,5,1,0,0,0,0,0,0,0,6.422687904750989,1.8598367068337043,5.138150323800791,486.0,599.4444444444445,245.375,264.6666666666667,293.57142857142856,17.755250000000018,12.335500000000003,122.58157270598777
286,1,4,20,4.0,0.0,4.25,2.7726341266023544,1.8,0.8944271909999159,4.647058823529412,2.3499981594633153,0,0,0,0,0,0,0.037037037037037035,0.05237828008789241,0.06316137566137565,0.06382617804765701,0,0,0.04460977,0.029700506,0.0906891,0.12574407,0,0,0.3147102,0.41107732,1.0,0.9047619047619048,61.74000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111,1.0,1.25,0.9166666666666666,1.0,1.0,0.6648297410760264,0.6648297410760264,1,1,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,6.322474067281793,1.8441105978978645,5.578653588778052,0,612.3333333333334,269.0,303.0,331.3333333333333,38.29772058823531,8.973382352941176,121.53449948966797
665,1,1,7,1.0,0.0,5.0,0.0,2.142857142857143,1.2149857925879117,7.2,2.481934729198171,0,0,0,0,0,0,nan,nan,0,0,0,0,0,0,nan,nan,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,6.6182822081494646,1.889835851103017,5.294625766519571,0,0,0,0,0,-18.19999999999996,17.040000000000003,nan
804,1,4,42,4.0,0.0,9.25,7.39509972887452,1.5714285714285714,0.8006965608633506,4.27027027027027,2.1390658310712842,0,1,0,0,1,0,0.03076923076923077,0.06153846153846154,0.01855921855921856,0.042179539755494835,0,0,0.1284207,0.15201582,0.09498614,0.11302701,0,0,0.29037154,0.42665264,0.8571428571428571,0.8974358974358975,106.47000000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,0.3333333333333333,0.2309148,3.0,3.0,0.95,0.975,0.975,0.6574216191211376,0.6574216191211376,2,2,1,0,0,0,0,0,5,6,1,2,2,0,0,0,0,0,6.413013596333557,1.8583293002851018,6.046555676543068,289.0,613.2,246.3,270.5,310.1,67.42803571428573,6.028214285714288,131.1427355025562
842,1,3,24,3.0,0.0,7.0,7.118052168020874,1.9166666666666667,1.1000658741803746,4.809523809523809,2.665816190910172,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.24272166,0.2248723,0.16596468,0.2132955,0,0,0.43604338,0.43805516,1.0,0.9523809523809523,123.47999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.600726,6.0,1.4,1.0,1.0,1.0,0.4143989873053573,0.4143989873053573,2,2,0,0,0,0,0,1,5,6,2,0,2,0,0,0,0,0,6.478158172069714,1.868436237257121,5.552707004631184,383.0,599.75,237.25,275.75,332.25,26.50142857142862,11.301904761904762,103.67100335357769
1098,1,3,19,3.0,0.0,5.0,4.96655480858378,1.6842105263157894,1.0568628408301075,4.733333333333333,2.4890872936792623,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.09816082,0.09816082,0.06544054,0.09254692,0,0,0.26584923,0.40013912,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,3.0,0.3333333333333333,1.0,1.0,1.0,0.2720234848070483,0.2720234848070483,0,0,0,0,0,0,0,1,0,3,2,2,1,0,0,0,0,0,6.146786109996752,1.815929361483588,5.2686738085686455,0,616.5,275.1666666666667,289.5,328.5,44.98404761904763,8.144285714285715,88.63557367884768
